38 Provinsi,,,
,"Luas Panen, Produksi, dan Produktivitas Padi Menurut Provinsi",,
,Luas Panen (ha),Produktivitas (ku/ha),Produksi (ton)
,2020,2020,2020
ACEH,317869.41,55.28,1757313.07
SUMATERA UTARA,388591.22,52.51,2040500.19
SUMATERA BARAT,295664.47,46.92,1387269.29
RIAU,64733.13,37.64,243685.04
JAMBI,84772.93,45.58,386413.49
SUMATERA SELATAN,551320.76,49.75,2743059.68
BENGKULU,64137.28,45.66,292834.04
LAMPUNG,545149.05,48.62,2650289.64
KEP. BANGKA BELITUNG,17840.55,32.13,57324.32
KEP. RIAU,298.52,28.56,852.54
DKI JAKARTA,914.51,49.69,4543.93
JAWA BARAT,1586888.63,56.82,9016772.58
JAWA TENGAH,1666931.49,56.93,9489164.62
DI YOGYAKARTA,110548.12,47.35,523395.95
JAWA TIMUR,1754380.3,56.68,9944538.26
BANTEN,325333.24,50.88,1655170.09
BALI,90980.69,58.49,532168.45
NUSA TENGGARA BARAT,273460.82,48.17,1317189.81
NUSA TENGGARA TIMUR,181690.63,39.9,725024.3
KALIMANTAN BARAT,256575.43,30.33,778170.36
KALIMANTAN TENGAH,143275.05,31.96,457952
KALIMANTAN SELATAN,289836.35,39.69,1150306.66
KALIMANTAN TIMUR,73568.44,35.67,262434.52
KALIMANTAN UTARA,9883.05,33.97,33574.28
SULAWESI UTARA,61827.86,40.25,248879.48
SULAWESI TENGAH,178066.94,44.49,792248.84
SULAWESI SELATAN,976258.14,48.23,4708464.97
SULAWESI TENGGARA,133697.15,39.85,532773.49
GORONTALO,48686.34,46.75,227627.2
SULAWESI BARAT,64826.18,53.23,345050.37
MALUKU,28668.22,38.53,110447.3
MALUKU UTARA,10301.91,42.11,43382.85
PAPUA BARAT,7570.63,32.2,24378.33
PAPUA BARAT DAYA,-,-,-
PAPUA,52727.52,31.48,166002.3
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,10657274.96,51.28,54649202.24
