province,month,suhu_rata_rata_c,suhu_maksimum_c,suhu_minimum_c,kelembapan_rata_rata_persen,curah_hujan_mm,kecepatan_angin_maks_kmh,radiasi_matahari_mj,luas_panen,produksi,produktivitas,suhu_rata_rata_c_lag_1,suhu_rata_rata_c_lag_2,suhu_rata_rata_c_lag_3,curah_hujan_mm_lag_1,curah_hujan_mm_lag_2,curah_hujan_mm_lag_3,kelembapan_rata_rata_persen_lag_1,kelembapan_rata_rata_persen_lag_2,kelembapan_rata_rata_persen_lag_3,kecepatan_angin_maks_kmh_lag_1,kecepatan_angin_maks_kmh_lag_2,kecepatan_angin_maks_kmh_lag_3,radiasi_matahari_mj_lag_1,radiasi_matahari_mj_lag_2,radiasi_matahari_mj_lag_3
Aceh,2024-01,26.664516129,30.4032258065,23.7451612903,82.2580645161,156.3,16.0677419355,18.3690322581,26489.117499999997,146442.75583333333,55.28,,,,,,,,,,,,,,,
Aceh,2024-02,27.7,31.6517241379,24.3310344828,76.724137931,53.0,18.7344827586,21.2686206897,26489.117499999997,146442.75583333333,55.28,26.664516129,,,156.3,,,82.2580645161,,,16.0677419355,,,18.3690322581,,
Aceh,2024-03,27.9419354839,32.2709677419,24.4870967742,78.6129032258,80.3,14.6838709677,21.16,26489.117499999997,146442.75583333333,55.28,27.7,26.664516129,,53.0,156.3,,76.724137931,82.2580645161,,18.7344827586,16.0677419355,,21.2686206897,18.3690322581,
Aceh,2024-04,28.2933333333,32.4633333333,25.2066666667,80.2666666667,91.5,11.8,20.803,26489.117499999997,146442.75583333333,55.28,27.9419354839,27.7,26.664516129,80.3,53.0,156.3,78.6129032258,76.724137931,82.2580645161,14.6838709677,18.7344827586,16.0677419355,21.16,21.2686206897,18.3690322581
Aceh,2024-05,28.3,32.1064516129,25.7193548387,81.935483871,200.0,13.5806451613,17.1422580645,26489.117499999997,146442.75583333333,55.28,28.2933333333,27.9419354839,27.7,91.5,80.3,53.0,80.2666666667,78.6129032258,76.724137931,11.8,14.6838709677,18.7344827586,20.803,21.16,21.2686206897
Aceh,2024-06,29.38,33.4533333333,26.3033333333,68.4666666667,24.0,18.0166666667,19.2613333333,26489.117499999997,146442.75583333333,55.28,28.3,28.2933333333,27.9419354839,200.0,91.5,80.3,81.935483871,80.2666666667,78.6129032258,13.5806451613,11.8,14.6838709677,17.1422580645,20.803,21.16
Aceh,2024-07,30.0225806452,34.3451612903,26.7387096774,62.6451612903,53.5,19.9032258065,20.1429032258,26489.117499999997,146442.75583333333,55.28,29.38,28.3,28.2933333333,24.0,200.0,91.5,68.4666666667,81.935483871,80.2666666667,18.0166666667,13.5806451613,11.8,19.2613333333,17.1422580645,20.803
Aceh,2024-08,27.8290322581,31.6935483871,24.9516129032,75.8709677419,165.7,15.912903225800001,18.36,26489.117499999997,146442.75583333333,55.28,30.0225806452,29.38,28.3,53.5,24.0,200.0,62.6451612903,68.4666666667,81.935483871,19.9032258065,18.0166666667,13.5806451613,20.1429032258,19.2613333333,17.1422580645
Aceh,2024-09,27.636666666700002,31.0266666667,25.24,77.1333333333,186.0,19.96,17.5753333333,26489.117499999997,146442.75583333333,55.28,27.8290322581,30.0225806452,29.38,165.7,53.5,24.0,75.8709677419,62.6451612903,68.4666666667,15.912903225800001,19.9032258065,18.0166666667,18.36,20.1429032258,19.2613333333
Aceh,2024-10,27.2903225806,30.7419354839,24.7741935484,79.5161290323,234.0,14.6032258065,18.6796774194,26489.117499999997,146442.75583333333,55.28,27.636666666700002,27.8290322581,30.0225806452,186.0,165.7,53.5,77.1333333333,75.8709677419,62.6451612903,19.96,15.912903225800001,19.9032258065,17.5753333333,18.36,20.1429032258
Aceh,2024-11,26.7166666667,30.1633333333,24.3266666667,83.7666666667,273.2,14.09,15.359,26489.117499999997,146442.75583333333,55.28,27.2903225806,27.636666666700002,27.8290322581,234.0,186.0,165.7,79.5161290323,77.1333333333,75.8709677419,14.6032258065,19.96,15.912903225800001,18.6796774194,17.5753333333,18.36
Aceh,2024-12,26.1870967742,29.5548387097,23.9193548387,87.4516129032,330.2,11.6258064516,14.6467741935,26489.117499999997,146442.75583333333,55.28,26.7166666667,27.2903225806,27.636666666700002,273.2,234.0,186.0,83.7666666667,79.5161290323,77.1333333333,14.09,14.6032258065,19.96,15.359,18.6796774194,17.5753333333
Bali,2024-01,27.7483870968,31.1903225806,25.1,80.1935483871,152.7,16.9774193548,21.725483871,7581.724166666667,44347.37083333333,58.49,,,,,,,,,,,,,,,
Bali,2024-02,27.1310344828,30.8827586207,24.5448275862,85.3793103448,246.0,13.175862069,22.22,7581.724166666667,44347.37083333333,58.49,27.7483870968,,,152.7,,,80.1935483871,,,16.9774193548,,,21.725483871,,
Bali,2024-03,27.4451612903,30.7161290323,24.9032258065,83.5483870968,285.7,15.0258064516,21.5329032258,7581.724166666667,44347.37083333333,58.49,27.1310344828,27.7483870968,,246.0,152.7,,85.3793103448,80.1935483871,,13.175862069,16.9774193548,,22.22,21.725483871,
Bali,2024-04,26.98,29.6866666667,24.7166666667,87.3666666667,230.3,15.8933333333,19.2516666667,7581.724166666667,44347.37083333333,58.49,27.4451612903,27.1310344828,27.7483870968,285.7,246.0,152.7,83.5483870968,85.3793103448,80.1935483871,15.0258064516,13.175862069,16.9774193548,21.5329032258,22.22,21.725483871
Bali,2024-05,26.6258064516,29.1483870968,24.4290322581,85.4838709677,90.3,19.3838709677,19.8267741935,7581.724166666667,44347.37083333333,58.49,26.98,27.4451612903,27.1310344828,230.3,285.7,246.0,87.3666666667,83.5483870968,85.3793103448,15.8933333333,15.0258064516,13.175862069,19.2516666667,21.5329032258,22.22
Bali,2024-06,25.9633333333,28.3133333333,23.7966666667,83.7333333333,80.8,20.1633333333,17.4143333333,7581.724166666667,44347.37083333333,58.49,26.6258064516,26.98,27.4451612903,90.3,230.3,285.7,85.4838709677,87.3666666667,83.5483870968,19.3838709677,15.8933333333,15.0258064516,19.8267741935,19.2516666667,21.5329032258
Bali,2024-07,25.3322580645,27.8129032258,23.1774193548,81.4193548387,80.8,21.9903225806,18.6777419355,7581.724166666667,44347.37083333333,58.49,25.9633333333,26.6258064516,26.98,80.8,90.3,230.3,83.7333333333,85.4838709677,87.3666666667,20.1633333333,19.3838709677,15.8933333333,17.4143333333,19.8267741935,19.2516666667
Bali,2024-08,25.2161290323,28.4193548387,22.1967741935,80.6129032258,36.2,20.0483870968,21.0964516129,7581.724166666667,44347.37083333333,58.49,25.3322580645,25.9633333333,26.6258064516,80.8,80.8,90.3,81.4193548387,83.7333333333,85.4838709677,21.9903225806,20.1633333333,19.3838709677,18.6777419355,17.4143333333,19.8267741935
Bali,2024-09,26.1966666667,29.7833333333,22.9766666667,81.9333333333,62.7,17.71,23.4786666667,7581.724166666667,44347.37083333333,58.49,25.2161290323,25.3322580645,25.9633333333,36.2,80.8,80.8,80.6129032258,81.4193548387,83.7333333333,20.0483870968,21.9903225806,20.1633333333,21.0964516129,18.6777419355,17.4143333333
Bali,2024-10,26.9774193548,30.7258064516,23.435483871,79.3225806452,71.3,17.7419354839,24.8732258065,7581.724166666667,44347.37083333333,58.49,26.1966666667,25.2161290323,25.3322580645,62.7,36.2,80.8,81.9333333333,80.6129032258,81.4193548387,17.71,20.0483870968,21.9903225806,23.4786666667,21.0964516129,18.6777419355
Bali,2024-11,27.63,31.2033333333,24.54,82.1666666667,207.8,12.1333333333,23.1726666667,7581.724166666667,44347.37083333333,58.49,26.9774193548,26.1966666667,25.2161290323,71.3,62.7,36.2,79.3225806452,81.9333333333,80.6129032258,17.7419354839,17.71,20.0483870968,24.8732258065,23.4786666667,21.0964516129
Bali,2024-12,26.4451612903,29.0193548387,24.6709677419,87.4838709677,415.8,16.4129032258,17.2667741935,7581.724166666667,44347.37083333333,58.49,27.63,26.9774193548,26.1966666667,207.8,71.3,62.7,82.1666666667,79.3225806452,81.9333333333,12.1333333333,17.7419354839,17.71,23.1726666667,24.8732258065,23.4786666667
Banten,2024-01,26.8870967742,30.8709677419,23.9741935484,85.3548387097,378.2,11.3806451613,17.4141935484,27111.103333333333,137930.84083333335,50.88,,,,,,,,,,,,,,,
Banten,2024-02,26.8586206897,30.4931034483,24.0586206897,86.6551724138,312.5,11.075862069,17.8482758621,27111.103333333333,137930.84083333335,50.88,26.8870967742,,,378.2,,,85.3548387097,,,11.3806451613,,,17.4141935484,,
Banten,2024-03,26.9387096774,30.6612903226,24.2129032258,85.8064516129,288.2,12.8258064516,18.6251612903,27111.103333333333,137930.84083333335,50.88,26.8586206897,26.8870967742,,312.5,378.2,,86.6551724138,85.3548387097,,11.075862069,11.3806451613,,17.8482758621,17.4141935484,
Banten,2024-04,27.23,31.14,24.38,86.9333333333,275.1,9.4266666667,18.4136666667,27111.103333333333,137930.84083333335,50.88,26.9387096774,26.8586206897,26.8870967742,288.2,312.5,378.2,85.8064516129,86.6551724138,85.3548387097,12.8258064516,11.075862069,11.3806451613,18.6251612903,17.8482758621,17.4141935484
Banten,2024-05,27.5096774194,31.2322580645,24.6967741935,84.5161290323,237.7,9.548387096799999,17.1874193548,27111.103333333333,137930.84083333335,50.88,27.23,26.9387096774,26.8586206897,275.1,288.2,312.5,86.9333333333,85.8064516129,86.6551724138,9.4266666667,12.8258064516,11.075862069,18.4136666667,18.6251612903,17.8482758621
Banten,2024-06,27.0266666667,31.1966666667,23.7733333333,83.6333333333,150.2,9.8433333333,17.593,27111.103333333333,137930.84083333335,50.88,27.5096774194,27.23,26.9387096774,237.7,275.1,288.2,84.5161290323,86.9333333333,85.8064516129,9.548387096799999,9.4266666667,12.8258064516,17.1874193548,18.4136666667,18.6251612903
Banten,2024-07,26.8387096774,31.335483871,23.1290322581,77.7741935484,118.1,10.8,18.7709677419,27111.103333333333,137930.84083333335,50.88,27.0266666667,27.5096774194,27.23,150.2,237.7,275.1,83.6333333333,84.5161290323,86.9333333333,9.8433333333,9.548387096799999,9.4266666667,17.593,17.1874193548,18.4136666667
